포항시,주민센터_수,우체국_수,대학교_수,초중고_수,도서관_수,유통_수,상급종합병원_수,종합병원_수,sum_a
흥해읍,0.09930835915828615,0.2362309948480234,0.10319957158330062,0.6910950218556939,0.2692517025349345,0.0,0.0,0.0,1.3990856499802387
오천읍,0.09930835915828615,0.16125274041284765,0.0,0.6489844919253931,0.2692517025349345,0.0,0.0,0.0,1.1787972940314615
연일읍,0.09930835915828615,0.10173915177140015,0.0,0.5653410946345319,0.1837928800262442,0.18240229259646631,0.0,0.0,1.1325837781869286
용흥동,0.09930835915828615,0.10173915177140015,0.0,0.671043910701369,0.1837928800262442,0.0,0.0,0.056679719780747845,1.1125640214380474
양덕동,0.0,0.10173915177140015,0.0,0.4842907888592817,0.36758576005248844,0.11508303351875736,0.0,0.0,1.0686987342019276
장성동,0.09930835915828615,0.10173915177140015,0.0,0.5653410946345319,0.1837928800262442,0.11508303351875736,0.0,0.0,1.0652645191092196
죽도동,0.09930835915828615,0.0,0.0,0.4842907888592817,0.1837928800262442,0.26721452877206675,0.0,0.0,1.0346065568158789
우현동,0.09930835915828615,0.0,0.0,0.671043910701369,0.11596039650314667,0.11508303351875736,0.0,0.0,1.0013956998815592
청하면,0.09930835915828615,0.16125274041284765,0.0,0.42889851627172815,0.11596039650314667,0.18240229259646631,0.0,0.0,0.987822304942475
구룡포읍,0.09930835915828615,0.10173915177140015,0.0,0.42889851627172815,0.1837928800262442,0.11508303351875736,0.0,0.0,0.928821940746416
죽장면,0.09930835915828615,0.16125274041284765,0.0,0.4842907888592817,0.1837928800262442,0.0,0.0,0.0,0.9286447684566597
대잠동,0.09930835915828615,0.10173915177140015,0.0,0.42889851627172815,0.11596039650314667,0.11508303351875736,0.0,0.056679719780747845,0.9176691770040664
지곡동,0.09930835915828615,0.10173915177140015,0.05159978579165031,0.5285206643161293,0.11596039650314667,0.0,0.0,0.0,0.8971283575406127
두호동,0.09930835915828615,0.0,0.0,0.42889851627172815,0.1837928800262442,0.18240229259646631,0.0,0.0,0.8944020480527248
환호동,0.09930835915828615,0.0,0.0,0.4842907888592817,0.1837928800262442,0.11508303351875736,0.0,0.0,0.8824750615625694
기계면,0.09930835915828615,0.10173915177140015,0.0,0.42889851627172815,0.11596039650314667,0.11508303351875736,0.0,0.0,0.8609894572233185
대도동,0.0,0.10173915177140015,0.0,0.4842907888592817,0.1837928800262442,0.0,0.0,0.056679719780747845,0.8265025404376738
장기면,0.09930835915828615,0.10173915177140015,0.0,0.4842907888592817,0.11596039650314667,0.0,0.0,0.0,0.8012986962921147
동해면,0.09930835915828615,0.10173915177140015,0.0,0.42889851627172815,0.11596039650314667,0.0,0.0,0.0,0.7459064237045612
송도동,0.09930835915828615,0.10173915177140015,0.0,0.42889851627172815,0.11596039650314667,0.0,0.0,0.0,0.7459064237045612
창포동,0.0,0.10173915177140015,0.0,0.42889851627172815,0.0,0.11508303351875736,0.0,0.0,0.6457207015618857
대송면,0.09930835915828615,0.0,0.0,0.42889851627172815,0.11596039650314667,0.0,0.0,0.0,0.644167271933161
청림동,0.09930835915828615,0.10173915177140015,0.0,0.24214539442964078,0.1837928800262442,0.0,0.0,0.0,0.6269857853855713
득량동,0.09930835915828615,0.10173915177140015,0.0,0.24214539442964078,0.11596039650314667,0.0,0.0,0.0,0.5591533018624738
상도동,0.09930835915828615,0.10173915177140015,0.0,0.24214539442964078,0.11596039650314667,0.0,0.0,0.0,0.5591533018624738
신광면,0.09930835915828615,0.10173915177140015,0.0,0.354736591003222,0.0,0.0,0.0,0.0,0.5557841019329084
송라면,0.09930835915828615,0.10173915177140015,0.0,0.354736591003222,0.0,0.0,0.0,0.0,0.5557841019329084
기북면,0.09930835915828615,0.10173915177140015,0.0,0.354736591003222,0.0,0.0,0.0,0.0,0.5557841019329084
이동,0.0,0.0,0.0,0.354736591003222,0.11596039650314667,0.0,0.0,0.056679719780747845,0.5273767072871165
학산동,0.0,0.0,0.0,0.4842907888592817,0.0,0.0,0.0,0.0,0.4842907888592817
효자동,0.0,0.0,0.0,0.24214539442964078,0.23192079300629334,0.0,0.0,0.0,0.4740661874359341
인덕동,0.09930835915828615,0.0,0.0,0.24214539442964078,0.0,0.11508303351875736,0.0,0.0,0.4565367871066843
덕산동,0.0,0.0,0.0,0.24214539442964078,0.0,0.0,0.0,0.0,0.24214539442964078
학잠동,0.0,0.0,0.0,0.24214539442964078,0.0,0.0,0.0,0.0,0.24214539442964078
여남동,0.0,0.0,0.0,0.24214539442964078,0.0,0.0,0.0,0.0,0.24214539442964078
항구동,0.0,0.10173915177140015,0.0,0.0,0.11596039650314667,0.0,0.0,0.0,0.21769954827454682
해도동,0.09930835915828615,0.0,0.0,0.0,0.11596039650314667,0.0,0.0,0.0,0.21526875566143283
대신동,0.09930835915828615,0.0,0.0,0.0,0.0,0.0,0.0,0.056679719780747845,0.155988078939034
덕수동,0.0,0.0,0.0,0.0,0.11596039650314667,0.0,0.0,0.0,0.11596039650314667
상원동,0.0,0.0,0.0,0.0,0.11596039650314667,0.0,0.0,0.0,0.11596039650314667
신흥동,0.0,0.10173915177140015,0.0,0.0,0.0,0.0,0.0,0.0,0.10173915177140015
송내동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
장흥동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
괴동동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
일월동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동촌동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대흥동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
호동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남빈동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
중앙동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동빈2가,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
동빈1가,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
여천동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
